zero,value
1,0.8660254037844386
2,4.974937185533101
3,6.98212002188447
4,10.988630487917957
5,12.99038105676658
6,16.992645467966433
7,18.993419913222578
8,22.99456457513384
9,24.994999499899976
10,28.995689334795962
11,30.995967479657736
12,34.996428389194236
13,36.99662146737185
14,40.99695110614935
15,42.997092924987385
16,46.9973403502794
17,48.99744891318323
18,52.99764145695543
19,54.99772722576816
20,58.99788131789141
21,60.997950785251795
22,64.9980768946282
23,66.99813430238189
24,70.99823941479113
25,72.99828765114972
26,76.99837660626359
27,78.99841770567308
28,82.99849396224008
29,84.99852939904314
30,88.99859549453578
31,90.99862636325892
32,94.9986842014141
33,96.99871133164605
34,100.99876236865481
35,102.99878640061738
36,106.99883176932354
37,108.99885320497643
38,112.99889379989523
39,114.99891303834137
40,118.99894957519585
41,120.99896693773877
42,124.99899999599998
